Qoil,Qwater,Qgas,BHP,WHP,WHT,Tsep,Psep,Choke_in
1602.80,6411.30,4.01,4464.21,692.68,181.65,138.49,200.00,1.50
6216.40,0.00,15.54,4236.72,1178.53,158.95,104.45,300.00,1.50
5102.00,1275.50,12.76,4125.69,1073.69,164.21,111.41,300.00,1.50
4082.10,2721.40,10.21,4163.24,988.25,170.42,120.31,300.00,1.50
2940.90,4411.30,7.35,4269.14,880.54,176.25,129.43,300.00,1.50
1589.00,6356.10,3.97,4474.24,715.44,181.38,138.02,300.00,1.50
6210.50,0.00,15.53,4238.18,1182.29,158.91,104.40,400.00,1.50
5087.10,1271.80,12.72,4130.54,1082.47,164.09,111.24,400.00,1.50
4061.20,2707.40,10.15,4171.45,1003.57,170.23,120.03,400.00,1.50
2913.40,4370.20,7.28,4282.28,905.86,175.90,128.88,400.00,1.50
1559.90,6239.60,3.90,4495.41,756.87,180.80,137.01,400.00,1.50
6177.70,0.00,15.44,4246.40,1201.61,158.69,104.11,500.00,1.50
5050.70,1262.70,12.63,4142.36,1108.82,163.79,110.84,500.00,1.50
4025.00,2683.40,10.06,4185.58,1036.28,169.92,119.54,500.00,1.50
2876.70,4315.10,7.19,4299.85,946.31,175.45,128.15,500.00,1.50
1523.70,6094.60,3.81,4521.76,809.06,180.07,135.76,500.00,1.50
6125.70,0.00,15.31,4259.41,1232.85,158.34,103.66,600.00,1.50
4996.50,1249.10,12.49,4159.98,1146.00,163.34,110.23,600.00,1.50
3972.00,2648.00,9.93,4205.77,1078.38,169.36,118.74,600.00,1.50
2827.30,4241.00,7.07,4323.50,994.84,174.83,127.16,600.00,1.50
1481.10,5924.40,3.70,4552.56,869.01,179.11,134.15,600.00,1.50
6355.60,0.00,15.89,4201.86,1091.81,159.91,105.67,100.00,1.94
5214.50,1303.60,13.04,4089.17,990.59,165.13,112.67,100.00,1.94
4174.70,2783.10,10.44,4127.00,907.55,171.22,121.55,100.00,1.94
3015.20,4522.80,7.54,4233.58,800.88,177.18,130.91,100.00,1.94
1644.60,6578.40,4.11,4433.84,628.14,182.49,139.93,100.00,1.94
6355.60,0.00,15.89,4201.88,1091.84,159.91,105.67,200.00,1.94
5214.10,1303.50,13.04,4089.31,990.91,165.13,112.67,200.00,1.94
4173.10,2782.10,10.43,4127.64,909.05,171.21,121.53,200.00,1.94
3011.10,4516.60,7.53,4235.54,805.66,177.12,130.83,200.00,1.94
1634.90,6539.60,4.09,4440.88,644.73,182.30,139.60,200.00,1.94
6341.80,0.00,15.85,4205.33,1101.00,159.81,105.55,300.00,1.94
5195.60,1298.90,12.99,4095.31,1004.66,164.98,112.46,300.00,1.94
4153.30,2768.90,10.38,4135.38,927.50,171.04,121.26,300.00,1.94
2989.60,4484.50,7.47,4245.81,830.42,176.86,130.40,300.00,1.94
1609.70,6438.80,4.02,4459.20,680.77,181.79,138.73,300.00,1.94
6305.50,0.00,15.76,4214.40,1122.76,159.56,105.23,400.00,1.94
5161.50,1290.40,12.90,4106.39,1031.30,164.70,112.08,400.00,1.94
4116.30,2744.20,10.29,4149.85,957.27,170.72,120.77,400.00,1.94
2953.10,4429.70,7.38,4263.29,866.54,176.40,129.67,400.00,1.94
1580.30,6321.30,3.95,4480.57,729.53,181.20,137.71,400.00,1.94
6256.80,0.00,15.64,4226.59,1153.36,159.23,104.81,500.00,1.94
5111.90,1278.00,12.78,4122.48,1065.65,164.29,111.52,500.00,1.94
4069.40,2713.00,10.17,4168.21,996.39,170.31,120.14,500.00,1.94
2907.70,4361.50,7.27,4285.05,912.11,175.83,128.77,500.00,1.94
1541.90,6167.70,3.86,4508.48,785.71,180.44,136.39,500.00,1.94
6194.30,0.00,15.49,4242.24,1190.50,158.80,104.26,600.00,1.94
5051.70,1262.90,12.63,4142.04,1107.84,163.79,110.85,600.00,1.94
4012.10,2674.80,10.03,4190.51,1043.31,169.79,119.35,600.00,1.94
2854.90,4282.30,7.14,4310.31,964.91,175.17,127.71,600.00,1.94
1498.10,5992.40,3.75,4540.28,848.49,179.52,134.83,600.00,1.94
6411.30,0.00,16.03,4187.92,1058.21,160.29,106.16,100.00,2.50
5259.10,1314.80,13.15,4074.68,958.50,165.50,113.18,100.00,2.50
4210.00,2806.70,10.53,4113.18,876.78,171.53,122.02,100.00,2.50
3043.50,4565.20,7.61,4219.81,773.02,177.48,131.41,100.00,2.50
1659.80,6639.00,4.15,4422.82,608.49,182.79,140.46,100.00,2.50
6398.60,0.00,16.00,4191.11,1063.95,160.20,106.05,200.00,2.50
5248.30,1312.10,13.12,4078.20,967.10,165.41,113.05,200.00,2.50
4195.60,2797.00,10.49,4118.84,887.73,171.41,121.83,200.00,2.50
3026.40,4539.60,7.57,4228.12,787.76,177.30,131.11,200.00,2.50
1642.50,6569.80,4.11,4435.39,631.74,182.45,139.86,200.00,2.50
6371.20,0.00,15.93,4197.97,1081.15,160.01,105.81,300.00,2.50
5218.90,1304.70,13.05,4087.74,986.96,165.17,112.72,300.00,2.50
4170.60,2780.40,10.43,4128.60,911.25,171.19,121.49,300.00,2.50
3002.10,4503.10,7.51,4239.86,816.11,177.01,130.65,300.00,2.50
1619.40,6477.60,4.05,4452.15,670.87,181.99,139.06,300.00,2.50
6333.20,0.00,15.83,4207.48,1106.64,159.75,105.48,400.00,2.50
5181.10,1295.30,12.95,4100.00,1015.91,164.86,112.30,400.00,2.50
4131.60,2754.40,10.33,4143.89,943.09,170.85,120.97,400.00,2.50
